LINEUPS,PPM,PFPM,TOVPM,BLKPM,STLPM,ASTPM,REBPM,DRBPM,ORBPM,FGPM,FGAPM,PM3P,PM3PA,PFDPM,plus_minusPM,FT%
".T. Chandler, .P. Tucker, .E. Bledsoe, .B. Knight, .D. Booker",2.41176470588235,0.411764705882353,0.294117647058824,0.0392156862745098,0.117647058823529,0.215686274509804,0.862745098039216,0.627450980392157,0.235294117647059,0.666666666666667,1.50980392156863,0.137254901960784,0.294117647058824,0.666666666666667,0.0196078431372549,0.857142857142857
".T. Chandler, .P. Tucker, .E. Bledsoe, .D. Booker, .M. Chriss",2.11971830985915,0.443661971830986,0.338028169014085,0.0704225352112676,0.183098591549296,0.394366197183099,0.904929577464789,0.626760563380282,0.278169014084507,0.795774647887324,1.80633802816901,0.197183098591549,0.552816901408451,0.447183098591549,-0.119718309859155,0.752
".T. Chandler, .P. Tucker, .E. Bledsoe, .T. Warren, .D. Booker",2.59235668789809,0.471337579617834,0.280254777070064,0.0700636942675159,0.152866242038217,0.363057324840764,0.942675159235669,0.617834394904459,0.32484076433121,0.866242038216561,1.91082802547771,0.210191082802548,0.547770700636943,0.560509554140127,0.159235668789809,0.864406779661017
".T. Chandler, .T. Warren, .D. Booker, .D. Bender, .T. Ulis",1.81395348837209,0.453488372093023,0.406976744186047,0.0697674418604651,0.127906976744186,0.395348837209302,0.779069767441861,0.662790697674419,0.116279069767442,0.697674418604651,1.56976744186047,0.162790697674419,0.488372093023256,0.453488372093023,-0.406976744186047,0.6875
".T. Chandler, .T. Warren, .D. Booker, .M. Chriss, .A. James",2.22115384615385,0.461538461538462,0.288461538461538,0.163461538461538,0.153846153846154,0.519230769230769,1.06730769230769,0.807692307692308,0.259615384615385,0.875,1.96153846153846,0.153846153846154,0.461538461538462,0.384615384615385,0.115384615384615,0.868421052631579
".T. Chandler, .T. Warren, .D. Booker, .M. Chriss, .T. Ulis",2.40645161290323,0.419354838709677,0.361290322580645,0.141935483870968,0.148387096774194,0.561290322580645,0.967741935483871,0.703225806451613,0.264516129032258,0.967741935483871,1.86451612903226,0.225806451612903,0.496774193548387,0.4,0.0903225806451613,0.716981132075472
".T. Chandler, .T. Warren, .M. Chriss, .T. Ulis, .J. Jackson",1.36842105263158,0.421052631578947,0.407894736842105,0.105263157894737,0.157894736842105,0.315789473684211,0.868421052631579,0.710526315789474,0.157894736842105,0.565789473684211,1.68421052631579,0.0263157894736842,0.381578947368421,0.342105263157895,-0.776315789473684,0.727272727272727
".T. Daniels, .D. Bender, .M. Chriss, .T. Ulis, .J. Jackson",2.14545454545455,0.327272727272727,0.272727272727273,0.0909090909090909,0.109090909090909,0.4,0.909090909090909,0.745454545454545,0.163636363636364,0.854545454545454,1.81818181818182,0.309090909090909,0.745454545454545,0.2,-0.181818181818182,0.636363636363636
".T. Evans, .C. Joseph, .B. Bogdanovic, .D. McDermott, .D. Sabonis",2.12931034482759,0.456896551724138,0.310344827586207,0.0862068965517241,0.206896551724138,0.482758620689655,0.948275862068966,0.71551724137931,0.232758620689655,0.879310344827586,1.87931034482759,0.129310344827586,0.525862068965517,0.370689655172414,0.0689655172413793,0.756756756756757
".T. Evans, .C. Joseph, .D. McDermott, .D. Sabonis, .T. Leaf",2.28318584070796,0.557522123893805,0.292035398230089,0.0530973451327434,0.141592920353982,0.460176991150442,1.00884955752212,0.716814159292035,0.292035398230089,0.920353982300885,2.00884955752212,0.212389380530973,0.530973451327434,0.31858407079646,0.0884955752212389,0.722222222222222
".T. Evans, .D. Collison, .W. Cauley-Stein, .B. Hield, .S. Labissiere",1.87931034482759,0.241379310344828,0.137931034482759,0.0517241379310345,0.172413793103448,0.344827586206897,0.931034482758621,0.758620689655172,0.172413793103448,0.689655172413793,1.81034482758621,0.103448275862069,0.413793103448276,0.362068965517241,-0.103448275862069,0.741935483870968
".T. Gibson, .J. Butler, .A. Wiggins, .T. Jones, .K. Towns",2.34865900383142,0.291187739463602,0.191570881226054,0.118773946360153,0.206896551724138,0.540229885057471,0.988505747126437,0.739463601532567,0.24904214559387,0.888888888888889,1.80842911877395,0.160919540229885,0.475095785440613,0.421455938697318,0.498084291187739,0.76978417266187
".T. Gibson, .J. Butler, .G. Dieng, .A. Wiggins, .T. Jones",2.13461538461538,0.461538461538462,0.25,0.115384615384615,0.269230769230769,0.442307692307692,1.07692307692308,0.846153846153846,0.230769230769231,0.788461538461538,1.80769230769231,0.192307692307692,0.519230769230769,0.288461538461538,0.423076923076923,0.791666666666667
".T. Gibson, .R. Covington, .A. Wiggins, .T. Jones, .K. Towns",2.44155844155844,0.350649350649351,0.194805194805195,0.194805194805195,0.220779220779221,0.61038961038961,0.805194805194805,0.662337662337662,0.142857142857143,0.922077922077922,1.74025974025974,0.194805194805195,0.402597402597403,0.506493506493506,0.324675324675325,0.720930232558139
".T. Hardaway Jr., .D. Finney-Smith, .M. Kleber, .J. Brunson, .L. Doncic",2,0.327272727272727,0.327272727272727,0.0545454545454545,0.0545454545454545,0.454545454545455,0.8,0.636363636363636,0.163636363636364,0.745454545454545,1.72727272727273,0.272727272727273,0.963636363636364,0.472727272727273,-0.272727272727273,0.684210526315789
".T. Hardaway Jr., .D. Powell, .D. Finney-Smith, .J. Brunson, .L. Doncic",2.06451612903226,0.5,0.274193548387097,0.0806451612903226,0.145161290322581,0.467741935483871,0.951612903225806,0.693548387096774,0.258064516129032,0.854838709677419,1.91935483870968,0.112903225806452,0.67741935483871,0.258064516129032,-0.435483870967742,0.681818181818182
".T. Harris, .J. Butler, .M. Scott, .T. McConnell, .B. Marjanovic",2.42424242424242,0.318181818181818,0.242424242424242,0.0303030303030303,0.136363636363636,0.560606060606061,1.25757575757576,0.833333333333333,0.424242424242424,0.909090909090909,2.10606060606061,0.212121212121212,0.439393939393939,0.318181818181818,0.348484848484849,0.896551724137931
".T. Johnson, .D. Booker, .J. Jackson, .M. Bridges, .D. Ayton",2.11764705882353,0.411764705882353,0.372549019607843,0.0588235294117647,0.215686274509804,0.490196078431373,0.96078431372549,0.666666666666667,0.294117647058824,0.843137254901961,1.98039215686275,0.137254901960784,0.568627450980392,0.372549019607843,-0.235294117647059,0.75
".T. Johnson, .K. Oubre Jr., .D. Booker, .D. Bender, .D. Ayton",2.20779220779221,0.350649350649351,0.272727272727273,0.12987012987013,0.168831168831169,0.480519480519481,0.987012987012987,0.74025974025974,0.246753246753247,0.87012987012987,2.01298701298701,0.194805194805195,0.636363636363636,0.337662337662338,-0.116883116883117,0.807692307692308
