"","LINEUPS","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","REBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PFDPM","plus_minusPM","FT%"
"648",".J. Redick, .D. Jordan, .L. Mbah a Moute, .B. Griffin, .A. Rivers",2.16030534351145,0.435114503816794,0.305343511450382,0.0534351145038168,0.190839694656489,0.534351145038168,0.870229007633588,0.687022900763359,0.183206106870229,0.83969465648855,1.78625954198473,0.274809160305344,0.603053435114504,0.305343511450382,-0.0381679389312977,0.613636363636364
"649",".J. Redick, .J. Bayless, .R. Covington, .J. Embiid, .B. Simmons",2.13888888888889,0.5,0.263888888888889,0.138888888888889,0.125,0.5,0.958333333333333,0.75,0.208333333333333,0.777777777777778,1.875,0.277777777777778,0.777777777777778,0.388888888888889,0.138888888888889,0.814814814814815
"650",".J. Redick, .J. Butler, .M. Muscala, .J. Embiid, .B. Simmons",2.55737704918033,0.524590163934426,0.377049180327869,0.0983606557377049,0.147540983606557,0.639344262295082,1.01639344262295,0.836065573770492,0.180327868852459,0.950819672131147,1.70491803278689,0.262295081967213,0.655737704918033,0.360655737704918,0.39344262295082,0.857142857142857
"651",".J. Redick, .M. Muscala, .J. Embiid, .T. McConnell, .F. Korkmaz",2.52380952380952,0.428571428571429,0.142857142857143,0.111111111111111,0.206349206349206,0.555555555555556,0.984126984126984,0.746031746031746,0.238095238095238,0.857142857142857,1.84126984126984,0.206349206349206,0.619047619047619,0.571428571428571,0.396825396825397,0.791666666666667
"652",".J. Redick, .R. Covington, .J. Embiid, .D. Saric, .B. Simmons",2.41159830268741,0.4002828854314,0.305516265912306,0.104667609618105,0.168316831683168,0.575671852899576,1.05374823196605,0.831683168316832,0.222065063649222,0.888260254596888,1.79349363507779,0.246110325318246,0.629420084865629,0.471004243281471,0.386138613861386,0.751366120218579
"653",".J. Redick, .T. Harris, .J. Butler, .B. Simmons, .J. Bolden",2.47560975609756,0.426829268292683,0.268292682926829,0.146341463414634,0.195121951219512,0.634146341463415,1.1219512195122,0.853658536585366,0.268292682926829,0.902439024390244,2,0.231707317073171,0.731707317073171,0.439024390243902,0.109756097560976,0.75
"654",".J. Redick, .T. Harris, .J. Butler, .J. Embiid, .B. Simmons",2.72670807453416,0.322981366459627,0.254658385093168,0.105590062111801,0.167701863354037,0.559006211180124,1.12422360248447,0.869565217391304,0.254658385093168,0.981366459627329,1.90683229813665,0.217391304347826,0.602484472049689,0.577639751552795,0.46583850931677,0.733333333333333
"655",".J. Redick, .W. Chandler, .J. Butler, .J. Embiid, .B. Simmons",2.51194539249147,0.348122866894198,0.354948805460751,0.136518771331058,0.129692832764505,0.593856655290102,1.04778156996587,0.798634812286689,0.249146757679181,0.901023890784983,1.80204778156997,0.238907849829352,0.580204778156997,0.457337883959044,0.279863481228669,0.807017543859649
"656",".J. Smith, .A. Nicholson, .V. Oladipo, .A. Gordon, .M. Hezonja",2.10344827586207,0.482758620689655,0.327586206896552,0.0517241379310345,0.241379310344828,0.431034482758621,0.689655172413793,0.551724137931034,0.137931034482759,0.862068965517241,1.67241379310345,0.120689655172414,0.396551724137931,0.379310344827586,0.189655172413793,0.75
"657",".J. Smith, .E. Fournier, .V. Oladipo, .E. Payton, .A. Gordon",2.21538461538462,0.492307692307692,0.230769230769231,0.138461538461538,0.230769230769231,0.538461538461538,0.830769230769231,0.615384615384615,0.215384615384615,0.923076923076923,1.95384615384615,0.123076923076923,0.4,0.246153846153846,-0.215384615384615,0.695652173913043
